name,invasive
845,0
846,0
847,0
848,1
849,0
850,0
851,1
852,0
853,1
854,0
855,1
856,0
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,0
865,0
866,1
867,1
868,1
869,1
870,0
871,0
872,1
873,1
874,0
875,1
876,1
877,0
878,0
879,1
880,1
881,0
882,1
883,1
884,1
885,0
886,0
887,1
888,0
889,1
890,1
891,0
892,1
893,0
894,1
895,0
896,0
897,1
898,0
899,0
900,1
901,1
902,0
903,0
904,1
905,0
906,1
907,0
908,0
909,1
910,0
911,1
912,0
913,0
914,0
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,0
923,0
924,1
925,0
926,1
927,0
928,1
929,1
930,0
931,0
932,0
933,0
934,1
935,1
936,1
937,1
938,1
939,0
940,1
941,0
942,0
943,1
944,0
945,0
946,1
947,0
948,0
949,1
950,1
951,1
952,0
953,0
954,0
955,0
956,1
957,1
958,1
959,0
960,1
961,0
962,1
963,1
964,0
965,0
966,1
967,0
968,0
969,0
970,0
971,0
972,1
973,1
974,1
975,0
976,0
977,0
978,1
979,1
980,0
981,1
982,1
983,0
984,0
985,0
986,1
987,1
988,1
989,1
990,1
991,0
992,1
993,1
994,0
995,0
996,1
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,1
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,0
1011,0
1012,1
1013,1
1014,0
1015,0
1016,0
1017,1
1018,1
1019,1
1020,1
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,1
1035,0
1036,1
1037,1
1038,0
1039,0
1040,1
1041,1
1042,1
1043,1
1044,0
1045,0
1046,1
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,0
1062,1
1063,0
1064,0
1065,1
1066,1
1067,0
1068,1
1069,1
1070,0
1071,1
1072,0
1073,0
1074,1
1075,1
1076,1
1077,1
1078,0
1079,1
1080,1
1081,1
1082,0
1083,1
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,1
1092,0
1093,0
1094,0
1095,1
1096,0
1097,0
1098,0
1099,0
1100,1
1101,1
1102,1
1103,0
1104,0
1105,0
1106,1
1107,1
1108,0
1109,1
1110,1
1111,0
1112,0
1113,0
1114,0
1115,0
1116,1
1117,1
1118,0
1119,1
1120,0
1121,0
1122,1
1123,1
1124,1
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,1
1132,0
1133,0
1134,1
1135,1
1136,0
1137,1
1138,0
1139,1
1140,0
1141,0
1142,1
1143,1
1144,1
1145,0
1146,0
1147,0
1148,1
1149,0
1150,0
1151,0
1152,1
1153,0
1154,1
1155,0
1156,1
1157,0
1158,0
1159,0
1160,0
1161,1
1162,1
1163,0
1164,1
1165,1
1166,0
1167,1
1168,1
1169,0
1170,0
1171,1
1172,1
1173,0
1174,1
1175,0
1176,1
1177,1
1178,0
1179,1
1180,1
1181,1
1182,1
1183,0
1184,0
1185,0
1186,0
1187,1
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,1
1198,0
1199,0
1200,1
1201,1
1202,1
1203,0
1204,0
1205,1
1206,0
1207,0
1208,0
1209,1
1210,1
1211,1
1212,1
1213,1
1214,0
1215,0
1216,0
1217,0
1218,1
1219,0
1220,0
1221,1
1222,0
1223,1
1224,1
1225,0
1226,1
1227,1
1228,0
1229,0
1230,1
1231,0
1232,0
1233,0
1234,1
1235,0
1236,1
1237,1
1238,1
1239,0
1240,0
1241,0
1242,1
1243,0
1244,1
1245,1
1246,0
1247,0
1248,1
1249,1
1250,1
1251,0
1252,0
1253,1
1254,0
1255,1
1256,0
1257,0
1258,1
1259,0
1260,0
1261,0
1262,0
1263,0
1264,1
1265,0
1266,0
1267,0
1268,1
1269,1
1270,1
1271,0
1272,0
1273,1
1274,1
1275,1
1276,0
1277,1
1278,0
1279,1
1280,0
1281,1
1282,0
1283,0
1284,1
1285,0
1286,1
1287,0
1288,1
1289,0
1290,0
1291,0
1292,1
1293,1
1294,0
1295,1
1296,1
1297,0
1298,0
1299,0
1300,0
1301,1
1302,1
1303,0
1304,1
1305,1
1306,1
1307,1
1308,0
1309,1
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,1
1318,1
1319,0
1320,1
1321,1
1322,1
1323,1
1324,1
1325,0
1326,1
1327,0
1328,0
1329,0
1330,0
1331,1
1332,1
1333,1
1334,0
1335,0
1336,0
1337,1
1338,0
1339,0
1340,0
1341,1
1342,1
1343,0
1344,1
1345,0
1346,0
1347,1
1348,0
1349,1
1350,0
1351,1
1352,1
1353,1
1354,0
1355,0
1356,1
1357,0
1358,1
1359,1
1360,1
1361,0
1362,0
1363,1
1364,1
1365,0
1366,0
1367,1
1368,0
1369,0
1370,0
1371,1
1372,1
1373,1
1374,1
1375,0
1376,1
1377,0
1378,0
1379,0
1380,1
1381,1
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,1
1391,0
1392,1
1393,0
1394,1
1395,1
1396,0
1397,0
1398,0
1399,0
1400,1
1401,0
1402,1
1403,0
1404,1
1405,1
1406,0
1407,0
1408,0
1409,0
1410,0
1411,1
1412,0
1413,0
1414,0
1415,0
1416,0
1417,1
1418,0
1419,0
1420,0
1421,1
1422,1
1423,0
1424,0
1425,1
1426,1
1427,0
1428,1
1429,0
1430,1
1431,0
1432,1
1433,1
1434,1
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,1
1445,0
1446,1
1447,1
1448,0
1449,0
1450,1
1451,0
1452,1
1453,0
1454,1
1455,1
1456,0
1457,1
1458,1
1459,1
1460,0
1461,1
1462,1
1463,0
1464,1
1465,0
1466,1
1467,1
1468,1
1469,0
1470,0
1471,1
1472,1
1473,0
1474,0
1475,0
1476,0
1477,0
1478,1
1479,0
1480,1
1481,0
1482,1
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,1
1490,0
1491,0
1492,0
1493,1
1494,1
1495,1
1496,0
1497,0
1498,0
1499,1
1500,1
1501,0
1502,0
1503,0
1504,0
1505,1
1506,1
1507,1
1508,0
1509,1
1510,1
1511,1
1512,1
1513,0
1514,1
1515,0
1516,1
1517,1
1518,1
1519,0
1520,0
1521,0
1522,0
1523,1
1524,1
1525,1
1526,0
1527,1
1528,1
1529,0
1530,1
1531,0
